id,Statement,Image,Web,Category,Date,Label
37802, Fact Check: 1938 video of BKS Iyengar shared as PM Modi performing yoga ,https://akm-img-a-in.tosshub.com/indiatoday/images/story/202011/Screenshot_20201124-232700_0-170x96.jpeg?yPyj5w40idCAv3WfDfdIiPVQ8jA67En9,INDIATODAY,COVID-19,20-Nov,Fake
37803, Fact Check: Conspiracy theory claims Sushant was killed for a corona testing patent,https://akm-img-a-in.tosshub.com/indiatoday/images/story/202008/cover_image_1-170x96.jpeg?YsRyfxTtB3yi6zYt0mVBl8ySuMgqHcEG,INDIATODAY,MISLEADING,20-Aug,Fake
37804, Fact Check: Gujarats Rani ki Vav shared as palace built by Chola emperor for wife,https://akm-img-a-in.tosshub.com/indiatoday/images/story/202007/image_1_1-170x96.png?V16RW0FSCdhC64NS.T4pSVotliMapwSg,INDIATODAY,GOVERNMENT,20-Jul,Fake
37805," Fact Check: No, PM Modi has not announced another Covid-19 lockdown ",https://akm-img-a-in.tosshub.com/indiatoday/images/story/202011/cover_pic_2-170x96.jpeg?QaDxLfTnLS95nxAkd2nDzdHtsNYTEiKS,INDIATODAY,COVID-19,20-Nov,Fake
37806, Fact Check: The curious case of a 'desecrated' Kali idol in a Bengal temple,https://akm-img-a-in.tosshub.com/indiatoday/images/story/202009/cover_image_1_-170x96.jpeg?rfOBXIyJVAWl8Eej8KlTMzzwUPxPPR5y,INDIATODAY,POLITICS,20-Sep,Fake
37807, Fact Check: This girl with a beautiful voice is not related to Kishore Kumar,https://akm-img-a-in.tosshub.com/indiatoday/images/story/202007/Annotation_2020-07-27_215644-170x96.jpeg?LFzjZya8_4uQJsBoV4ouq9miAXJWbZIc,INDIATODAY,MISLEADING,20-Jul,Fake
37808, Fact Check: This is not the childhood family photo of Covid-19 vaccine inventor,https://akm-img-a-in.tosshub.com/indiatoday/images/story/202012/cover_pic_1_-170x96.png?4o_g8TCItio1QpgyGM1uEKqEx55.6chX,INDIATODAY,COVID-19,20-Dec,Fake
37809, Fact Check: This is not the juvenile involved in Nirbhayas gang rape and murder,https://akm-img-a-in.tosshub.com/indiatoday/images/story/202010/cover_pic_4-170x96.png?xe0tyxjYWMNCXKtB8EMYZBv6axBYVf2N,INDIATODAY,MISLEADING,20-Oct,Fake
37810, Fact Check: Unrelated images passed off as visuals from the horrific Assam floods,https://akm-img-a-in.tosshub.com/indiatoday/images/story/202007/cover_pic_2-170x96.jpeg?PsjQVJvY7XGCltg0UJ84N6xlvVuCQp5l,INDIATODAY,VIOLENCE,20-Jul,Fake
37811, Fact Check: Viral video of Yogi Adityanath burning crackers is not from Diwali ,https://akm-img-a-in.tosshub.com/indiatoday/images/story/202011/cover_pic_1-170x96.png?AwNgFn13CzwwUtf0zYiJNx5TDKe_0xCM,INDIATODAY,GOVERNMENT,20-Nov,Fake
37812,Viral Test: Is Madhya Pradesh govt's request to ban porn to check rapes based on facts?,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201804/_MG_4096_a-170x96.jpeg?5bMRHSDsGT_OP.a.2YfabngvSWzSnWxj,INDIATODAY,MISLEADING,18-Apr,Fake
37813,Viral test: The truth behind ATM dispensing fakes,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201804/FakeCurrency_0-170x96.jpeg?VkQvCRz_tSetpp9byCxKjop65zlBEIIV,INDIATODAY,VIOLENCE,18-Apr,Fake
37814,"Viral Test: Did Salman Khan's Father Write ""Kalam-Kaagaz"" Poem?",https://akm-img-a-in.tosshub.com/indiatoday/images/story/201804/salim_khan_1524743724_618x347-170x96.jpeg?KrJqMqftJd6OVLP8JUcEDDbJZWxwdwEE,INDIATODAY,MISLEADING,18-Apr,Fake
37815,Fact Check: Was Modi right about Congress leaders not meeting Bhagat Singh in jail?,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201805/modi_fact_check-170x96.png?OZepvl2bmICysWnyYd8EZ.g95i2DqYdy,INDIATODAY,GOVERNMENT,18-May,Fake
37816,Viral Test: Truth behind 'Congress-Church plot' to divide Karnataka Hindus,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201805/rahul_gandhi_5-170x96.jpeg?JO.VsSvPLfhhfRDk1xT7GDsvv0_AN0km,INDIATODAY,VIOLENCE,18-May,Fake
37817,Viral Test: Who Photoshopped Ex-Prez Mukherjee In RSS Cap?,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201806/5365365-170x96.png?rxogkZ3lH2OdZX472bRiqY1s7tQoE6fu,INDIATODAY,GOVERNMENT,18-Jun,Fake
37818,Fact Check: Why is social media fuming over air conditioners and 24 degrees Celsius default setting?,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201806/AC_24_Degrees_Celsius_0-170x96.jpeg?m.RyP4R37ipoe1cnVUwzzrtq600NCjKR,INDIATODAY,MISLEADING,18-Jun,Fake
37819,Viral Test: Did Pandit Nehru give interview to Playboy?,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201806/download__1__4-170x96.jpeg?zWXGaWeveLE_IWlgnrdFJIuoIhcq9fVA,INDIATODAY,GOVERNMENT,18-Jun,Fake
37820,Fact Check: This photo of a madrasa teacher showing Islam as 'superior' to Hinduism is fake,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201806/fake_image-170x96.png?G36ontbqkhO5DAPSr.7GjOmvY6acp0m0,INDIATODAY,MISLEADING,18-Jun,Fake
37821,Fact Check: The complete truth behind the photo that embarrassed UP Police,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201806/Hapur_Police_Lynch_Viral_Photo_Cover_0-170x96.jpeg?1gvzPYv8gavqbX6QOdaYxZDzS2a95529,INDIATODAY,COVID-19,18-Jun,Fake
37822,Fact Check: Is India really no country for women?,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201806/India_No_Country_Women_Safety_Reuters_Report_Poll_Cover_1-170x96.png?DjXKrPNMFboiKMZAHgHVJvE_FV0JEKEY,INDIATODAY,MISLEADING,18-Jun,Fake
37823,Viral Test: Did Lord Krishna point at Eid moon,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201806/Krishna-170x96.png?M8C.6fWMwDdgIPi1YQD3K4.quK6.goWQ,INDIATODAY,GOVERNMENT,18-Jun,Fake
37824,Viral Test: Micetery solved as rats destroy currency worth Rs 12 lakh at ATM in Assam's Tinsukia,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201806/mice_atm-170x96.jpeg?INHJrSQ6FtlfukZESM.1QMJ.BvC4Zpfq,INDIATODAY,COVID-19,18-Jun,Fake
37825,Viral Test: No misconduct with President Kovind at Puri,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201806/president-kovind-temple_270618-043832-170x96.jpeg?3lLvMSAvKVLx28wH2JoJlUnrcU_kQRW2,INDIATODAY,POLITICS,18-Jun,Fake
